market,code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached_20,reached_80,stopped,near_miss,peak_pct,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full,vol_spike_hist
코스피,005950,20251024,22.22,29.93,26.4,12500,7750,True,False,False,False,390.2,2.0,-10.51,MA5>MA20>MA60>MA40>MA120,3100,760,13160,7860,False,False,False,False,True
코스피,006040,20251024,5.0,2.92,7.5,50900,40700,True,False,False,False,112.8,1.0,4.33,MA120>MA60>MA40>MA20>MA5,4400,1900,49200,42100,False,False,False,False,False
코스피,006120,20251027,2.78,2.86,7.04,61600,51200,True,False,False,False,106.6,2.0,1.98,MA5>MA60>MA40>MA20>MA120,4400,1700,59500,53300,False,False,False,False,False
코스피,010120,20251023,5.01,2.73,14.87,413500,287500,True,False,False,False,109.6,4.0,6.71,MA5>MA20>MA60>MA40>MA120,53000,18500,385500,316000,False,False,False,False,False
코스피,011210,20251022,2.51,3.92,4.13,66500,52300,False,True,False,False,126.6,31.0,-6.3,MA5>MA40>MA60>MA20>MA120,3800,2900,60900,55700,False,False,False,False,False
코스피,032640,20251105,2.27,-0.34,2.89,15970,14205,True,False,False,False,148.6,3.0,-0.27,MA20>MA40>MA60>MA5>MA120,510,380,15350,14610,False,False,False,False,False
코스피,042660,20251022,2.65,6.16,9.69,152400,107200,False,False,True,False,97.2,,-13.56,MA5>MA40>MA20>MA60>MA120,16800,7500,139900,120700,True,False,False,False,False
코스피,252670,20251105,3.16,5.93,5.31,832,624,False,False,True,False,66.4,,-14.05,MA120>MA60>MA40>MA20>MA5,73,40,774,644,False,False,False,False,False
코스피,252710,20251105,3.26,5.59,5.56,878,661,False,False,True,False,68.4,,-13.8,MA120>MA60>MA40>MA20>MA5,78,41,819,681,False,False,False,False,False
코스피,261220,20251023,2.86,2.05,4.05,14340,12898,False,False,True,False,95.9,,-7.04,MA60>MA120>MA40>MA20>MA5,745,235,14250,12985,False,False,False,False,False
코스피,326030,20251021,2.54,1.49,4.49,110200,99150,True,False,False,False,200.0,4.0,-0.95,MA20>MA40>MA60>MA5>MA120,5300,1800,108900,100500,False,False,False,False,False
코스피,500093,20251023,6.43,4.34,8.62,21870,17792,False,False,True,False,86.5,,-56.34,MA60>MA120>MA40>MA20>MA5,2165,685,21725,18095,False,False,False,False,True
코스피,520009,20251023,6.01,3.79,7.57,6375,5310,True,False,False,False,124.6,2.0,2.96,MA60>MA120>MA40>MA20>MA5,580,180,6360,5370,False,False,False,False,True
코스피,530133,20251023,6.14,4.31,8.8,21895,17735,True,False,False,False,100.8,2.0,3.62,MA60>MA120>MA40>MA20>MA5,2230,660,21740,18245,False,False,False,False,True
코스피,530031,20251023,6.31,3.94,8.66,1252,1016,True,False,False,False,105.5,2.0,3.73,MA60>MA120>MA40>MA20>MA5,126,38,1243,1031,False,False,False,False,False
코스피,570103,20251105,2.27,2.87,2.44,6220,5428,True,False,False,False,138.9,9.0,-2.13,MA120>MA60>MA40>MA20>MA5,295,160,6030,5455,False,False,False,False,False
코스피,570103,20251107,2.84,-1.19,3.36,6045,5612,True,False,False,False,243.8,5.0,-3.02,MA120>MA60>MA40>MA20>MA5,255,70,6065,5600,False,False,False,False,False
코스피,570116,20251023,6.44,4.27,8.88,21875,17845,True,False,False,False,110.0,2.0,4.11,MA60>MA120>MA40>MA20>MA5,2200,650,21795,18075,False,False,False,False,False
코스피,580068,20251023,5.79,4.75,8.45,22605,17935,False,True,False,False,103.6,66.0,-12.39,MA60>MA120>MA40>MA20>MA5,2160,850,22025,18450,False,False,False,False,False
코스피,700029,20251023,6.45,3.54,8.98,21590,17918,True,False,False,False,109.2,1.0,4.38,MA60>MA120>MA40>MA20>MA5,2085,570,21615,17935,False,False,False,False,False
코스닥,025980,20251027,4.22,0.93,6.28,11670,9250,False,False,True,False,22.7,,-14.51,MA5>MA20>MA60>MA40>MA120,720,550,10880,9920,False,False,False,False,False
코스닥,039560,20251029,3.51,0.8,9.25,3650,2930,False,True,False,False,174.1,58.0,-9.09,MA5>MA40>MA60>MA20>MA120,330,105,3530,3050,False,False,False,False,False
코스닥,042600,20251020,6.68,30.0,19.66,24020,7180,False,False,False,False,50.2,,-19.08,MA5>MA20>MA60>MA40>MA120,5480,3160,18560,9940,False,False,False,False,True
코스닥,090470,20251113,2.09,1.8,11.92,3810,2838,True,False,False,False,148.4,3.0,6.31,MA120>MA60>MA40>MA20>MA5,425,125,3600,3130,False,False,False,False,False
코스닥,107600,20251027,5.29,8.0,7.41,53500,33250,False,False,True,False,21.5,,-22.11,MA5>MA20>MA60>MA40>MA120,4900,4300,44900,36700,True,False,False,False,True
코스닥,123420,20251110,2.89,-0.95,5.66,9790,8015,False,False,True,False,63.7,,-7.84,MA60>MA120>MA40>MA20>MA5,510,370,9150,8600,False,False,False,False,False
코스닥,353810,20251023,5.63,1.25,7.04,6390,5360,True,False,False,False,210.3,1.0,1.33,MA20>MA40>MA60>MA5>MA120,480,200,6280,5530,False,False,False,False,False
코스닥,358570,20251112,3.29,1.92,14.3,18290,13655,True,False,False,False,110.7,2.0,8.51,MA120>MA60>MA40>MA20>MA5,2250,570,17600,14950,False,False,False,False,False
코스닥,950160,20251112,4.31,0.11,7.56,58150,45725,True,False,False,False,105.3,3.0,1.31,MA5>MA40>MA20>MA60>MA120,3650,2450,53650,48750,False,False,False,False,False
