code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached,stopped,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full
000050,20251212,16.06,14.93,29.99,15220,5475,False,False,,-17.19,MA5>MA20>MA120>MA40>MA60,3690,1680,12690,6520,False,False,False,False
000155,20251111,5.03,2.39,10.95,688000,508500,False,True,,-15.38,MA5>MA20>MA40>MA60>MA120,73000,30000,648000,535000,False,False,False,False
000157,20251103,4.05,-1.62,15.66,636000,410250,False,False,,-10.53,MA5>MA20>MA120>MA40>MA60,78500,38000,566000,478500,True,False,False,False
000157,20251111,3.89,5.33,6.81,646000,462750,False,True,,-15.64,MA5>MA20>MA40>MA120>MA60,57500,38000,587000,488000,False,False,False,False
000230,20251113,4.21,5.33,6.35,21490,12510,False,True,,-14.44,MA5>MA20>MA40>MA60>MA120,1600,1980,16890,14070,True,False,False,False
000230,20251211,3.34,5.8,17.12,21110,11570,False,False,,-8.82,MA20>MA5>MA40>MA60>MA120,2820,1600,17400,13750,True,False,False,False
000270,20251016,5.3,1.27,7.23,111800,97500,True,False,1.0,0.73,MA5>MA40>MA60>MA20>MA120,9200,2000,113300,98000,False,False,False,False
000270,20260114,2.65,5.18,5.15,159700,124550,True,False,3.0,1.29,MA5>MA20>MA40>MA60>MA120,12300,6700,149700,130900,False,False,False,False
000320,20260123,3.45,1.25,5.91,22280,19325,True,False,8.0,-4.05,MA120>MA60>MA40>MA20>MA5,1450,460,21960,19610,False,False,False,False
000370,20260204,3.49,7.69,5.08,7420,5630,True,False,4.0,-8.9,MA5>MA20>MA40>MA120>MA60,660,340,6960,6010,False,False,False,False
000390,20251218,4.75,1.84,30.0,8090,5155,True,False,1.0,34.43,MA5>MA120>MA20>MA60>MA40,1850,150,8080,6020,False,False,False,False
000500,20251030,4.07,10.43,7.56,102800,57950,False,False,,-9.64,MA5>MA120>MA60>MA40>MA20,10700,9500,83500,68300,True,False,False,False
000520,20260126,2.13,2.88,6.95,10360,8250,True,False,4.0,1.87,MA120>MA60>MA40>MA20>MA5,860,320,9860,8570,False,False,False,False
000650,20251119,5.68,2.02,29.99,49900,30825,True,False,1.0,59.75,MA120>MA5>MA60>MA40>MA20,12250,950,50150,34850,False,False,False,False
000650,20251203,23.78,29.81,29.97,509000,184500,True,False,1.0,-2.89,MA5>MA20>MA40>MA60>MA120,143000,61000,460000,219500,False,False,False,False
000720,20251203,3.49,2.81,6.98,77700,60900,True,False,3.0,-1.61,MA5>MA120>MA20>MA40>MA60,6400,3000,73500,65400,False,False,False,False
000725,20251029,2.71,0.51,3.05,70300,58050,False,True,,-6.92,MA5>MA120>MA60>MA40>MA20,1900,3400,64300,62300,False,False,False,False
000725,20260119,2.49,2.72,5.76,75900,59800,False,False,,-8.81,MA5>MA20>MA40>MA60>MA120,5400,3000,70900,63100,False,False,False,False
000860,20260102,2.33,1.98,7.86,14900,11985,True,False,4.0,-1.37,MA5>MA20>MA40>MA60>MA120,1250,400,14260,12470,False,False,False,False
000950,20251212,3.34,8.45,6.8,54200,34200,False,False,,-16.63,MA5>MA20>MA60>MA40>MA120,6000,3950,47150,37750,True,False,False,False
001270,20260115,3.74,6.33,7.14,78100,51750,True,False,13.0,-4.1,MA60>MA120>MA40>MA20>MA5,7500,5300,68300,55700,False,False,False,False
001340,20260120,2.85,6.64,3.56,6660,5355,True,False,11.0,-3.11,MA120>MA60>MA40>MA20>MA5,310,300,6120,5720,False,False,False,False
001360,20251208,10.34,1.49,29.99,1726,1130,True,False,1.0,26.64,MA120>MA60>MA40>MA5>MA20,429,30,1803,1287,False,False,False,False
001390,20251113,3.68,1.57,9.3,5940,4755,True,False,1.0,2.24,MA5>MA20>MA40>MA60>MA120,590,160,5800,4990,False,False,False,False
001440,20251028,3.9,1.66,5.33,22220,18335,True,False,3.0,2.03,MA5>MA20>MA40>MA60>MA120,1090,800,20770,19350,False,False,False,False
001440,20251029,3.66,5.33,8.66,25770,18700,True,False,4.0,-2.9,MA5>MA20>MA40>MA60>MA120,2000,1390,23090,20690,False,False,False,False
001440,20260130,3.53,4.81,3.89,37350,25500,True,False,17.0,-10.07,MA5>MA20>MA40>MA60>MA120,2600,2750,32150,27850,True,True,False,False
001460,20251031,3.04,0.0,3.59,38650,35400,True,False,1.0,0.27,MA60>MA40>MA120>MA20>MA5,1400,650,38150,36250,False,False,False,False
001460,20260204,2.47,6.59,10.12,58450,38000,True,False,1.0,7.79,MA5>MA40>MA20>MA60>MA120,7300,3350,52300,42650,False,False,False,False
001720,20260115,2.55,8.02,6.72,193200,122700,True,False,13.0,0.21,MA60>MA40>MA120>MA20>MA5,18800,14500,165400,134300,False,False,False,False
001780,20251222,3.09,7.51,5.94,3010,2020,False,True,,-7.37,MA120>MA5>MA60>MA40>MA20,140,225,2455,2255,True,True,False,False
002020,20260123,2.13,2.89,10.33,54650,40825,True,False,3.0,7.25,MA40>MA60>MA120>MA20>MA5,5550,2000,51150,44050,False,False,False,False
002020,20260203,2.41,3.15,12.2,90600,52200,False,True,,-18.65,MA5>MA60>MA40>MA20>MA120,11800,6700,76600,61500,False,False,False,False
002350,20251112,3.49,-0.27,4.69,8240,7000,False,True,,-10.23,MA5>MA20>MA40>MA120>MA60,540,220,8030,7150,False,False,False,False
