,종목 명,코드,발생일,현재가,갭상율,2봉전 1봉,1봉전 오늘,목표가,손절가,목표율,손절율,손익비,배열순,총 레인지,,,,
market,,code,signal_date,cur_price,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,to_target_pct,to_stop_pct,rr_ratio,ma_arr,total_range,prev_range,high_pt,low_pt,vol_spike_hist
코스닥,폴라리스ai,39980,20260313,2045,8.03,30,16.52,3197,983,56.33,51.93,1.08,MA120>MA60>MA40>MA20>MA5,708,431,2476,1425,TRUE
코스닥,나노엔택,39860,20260224,7670,8.14,29.96,30,11315,2968,47.52,61.31,0.78,MA5>MA40>MA20>MA60>MA120,3135,1375,9045,4115,TRUE
코스닥,유투바이오,221800,20260211,8690,7.62,29.9,29.9,12500,3725,43.84,57.13,0.77,MA5>MA20>MA60>MA40>MA120,3310,1440,10130,5030,TRUE
코스피,nhn,181710,20260213,37150,3.43,5.58,6.14,49150,32500,32.3,12.52,2.58,MA5>MA20>MA60>MA40>MA120,3100,3550,40700,35600,FALSE
코스닥,심플랫폼,444530,20260312,7250,2.72,4,16.19,9400,5315,29.66,26.69,1.11,MA120>MA60>MA40>MA20>MA5,1290,650,7900,6270,FALSE
코스피,티에이치엔,19180,20260313,8610,5.6,9.25,7.22,10840,6600,25.9,23.34,1.11,MA20>MA40>MA60>MA5>MA120,1340,870,9480,7770,FALSE
코스피,200선물인버스,252710,20260304,368,7.82,15.29,25.17,441,210,19.84,42.8,0.46,MA120>MA60>MA40>MA20>MA5,105,32,400,255,FALSE
코스피,,181710,20260219,42400,2.83,6.14,14.13,50250,33100,18.51,21.93,0.84,MA5>MA20>MA60>MA40>MA120,6200,2500,44900,36900,FALSE
코스피,동국홀딩스,1230,20260223,9580,3.98,4.63,5.97,11330,8275,18.27,13.62,1.34,MA5>MA20>MA60>MA40>MA120,870,650,10230,8770,FALSE
코스피,,11070,20260226,345000,2.26,3.98,20,404000,248250,17.1,28.04,0.61,MA5>MA60>MA40>MA20>MA120,64500,19500,364500,288000,FALSE
코스피,코덱스 인버스,114800,20260304,1871,3.78,7.84,12.37,2111,1427,12.83,23.73,0.54,MA120>MA60>MA40>MA20>MA5,296,101,1972,1558,FALSE
코스피,,111770,20260227,96900,2.9,1.09,4.19,109300,89250,12.8,7.89,1.62,MA5>MA20>MA60>MA40>MA120,5100,4200,101100,96800,FALSE
코스닥,,36800,20260219,27550,2.9,1.57,6.58,31050,24250,12.7,11.98,1.06,MA5>MA60>MA40>MA20>MA120,2200,1200,28750,25500,FALSE
코스피,,123310,20260304,2090,4.52,7.76,12.37,2340,1595,11.96,23.68,0.51,MA120>MA60>MA40>MA20>MA5,330,111,2201,1735,FALSE
코스닥,M83,476080,20260316,7130,2.73,-0.9,8.19,7940,6215,11.36,12.83,0.89,MA120>MA60>MA40>MA20>MA5,610,300,7430,6630,FALSE
코스닥,일승,333430,20260220,6330,4.17,6.57,5.5,6970,5460,10.11,13.74,0.74,MA120>MA60>MA40>MA20>MA5,580,290,6620,5730,FALSE
코스피,,92230,20260219,84200,2.47,4.12,4.08,92100,76400,9.38,9.26,1.01,MA5>MA20>MA60>MA40>MA120,5200,3200,87400,80000,FALSE
코스닥,에이럭스,475580,20260311,10440,7.34,2.86,16.13,11280,8100,8.05,22.41,0.36,MA120>MA60>MA40>MA20>MA5,1560,430,10870,8940,TRUE
코스닥,,36890,20260310,15840,6.6,-6.72,20.18,17090,11805,7.89,25.47,0.31,MA20>MA40>MA60>MA5>MA120,2690,600,16440,13000,FALSE
코스피,,9290,20260219,8000,12.82,0.65,29.87,8510,5195,6.38,35.06,0.18,MA5>MA20>MA60>MA40>MA120,1870,360,8360,5690,FALSE
코스피,,950,20260223,44550,4.89,2.94,6.2,47050,40425,5.61,9.26,0.61,MA5>MA20>MA60>MA40>MA120,2750,1500,46050,42700,FALSE
코스피,제일약품,271980,20260224,17390,2.07,1.22,16.17,18300,13490,5.23,22.43,0.23,MA5>MA60>MA40>MA20>MA120,2600,360,17750,14660,FALSE
코스피,,58730,20260211,4630,10.52,5.16,29.87,4810,2860,3.89,38.23,0.1,MA5>MA40>MA20>MA60>MA120,1180,175,4805,3395,TRUE
코스닥,,476060,20260224,25450,16.96,3.65,29.98,26200,16045,2.95,36.95,0.08,MA5>MA40>MA60>MA20>MA120,6270,1250,26700,17810,FALSE
코스피,미우주방산,440910,20260303,28510,3.97,1.64,4.78,28015,26358,-1.74,7.55,-0.23,MA5>MA40>MA20>MA60>MA120,1435,180,28690,26300,FALSE
코스피,,530111,20260303,2040,11.63,2.07,17.99,1949,1533,-4.46,24.85,-0.18,MA120>MA60>MA40>MA20>MA5,338,36,2076,1512,FALSE
