code,name,market,market_cap_krw,market_cap_100m
000020,동화약품,코스피,170700000000,1707
000040,KR모터스,코스피,32200000000,322
000050,경방,코스피,251400000000,2514
000070,삼양홀딩스,코스피,543400000000,5434
000080,하이트진로,코스피,1176100000000,11761
000087,하이트진로2우B,코스피,15900000000,159
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),코스피,61600000000,616
0000H0,KODEX 인도Nifty미드캡100,코스피,14900000000,149
0000J0,PLUS 한화그룹주,코스피,269400000000,2694
0000Y0,HK 26-12 회사채(AA-이상)액티브,코스피,121800000000,1218
0000Z0,RISE 바이오TOP10액티브,코스피,74300000000,743
000100,유한양행,코스피,7789500000000,77895
000105,유한양행우,코스피,103300000000,1033
000120,CJ대한통운,코스피,2529900000000,25299
000140,하이트진로홀딩스,코스피,211400000000,2114
000145,하이트진로홀딩스우,코스피,5200000000,52
000150,두산,코스피,17586500000000,175865
000155,두산우,코스피,1992200000000,19922
000157,두산2우B,코스피,399200000000,3992
000180,성창기업지주,코스피,106300000000,1063
0001P0,마이티 바이오시밀러&CDMO액티브,코스피,15700000000,157
0001S0,TIGER 26-04 회사채(A+이상)액티브,코스피,178100000000,1781
000210,DL,코스피,957700000000,9577
000215,DL우,코스피,41400000000,414
000220,유유제약,코스피,73800000000,738
000225,유유제약1우,코스피,10100000000,101
000227,유유제약2우B,코스피,3500000000,35
000230,일동홀딩스,코스피,121900000000,1219
000240,한국앤컴퍼니,코스피,2373400000000,23734
000270,기아,코스피,63598300000000,635983
0002C0,에셋플러스 인도일등기업포커스20액티브,코스피,9500000000,95
000300,DH오토넥스,코스피,174000000000,1740
000320,노루홀딩스,코스피,302400000000,3024
000325,노루홀딩스우,코스피,7500000000,75
000370,한화손해보험,코스피,796200000000,7962
000390,삼화페인트,코스피,250800000000,2508
000400,롯데손해보험,코스피,636200000000,6362
000430,대원강업,코스피,244000000000,2440
000480,CR홀딩스,코스피,230500000000,2305
000490,대동,코스피,286800000000,2868
0004G0,1Q 미국배당TOP30,코스피,9500000000,95
000500,가온전선,코스피,1566600000000,15666
000520,삼일제약,코스피,210600000000,2106
000540,흥국화재,코스피,295500000000,2955
000545,흥국화재우,코스피,5300000000,53
000590,CS홀딩스,코스피,93300000000,933
0005A0,KODEX 미국S&P500데일리커버드콜OTM,코스피,144600000000,1446
0005C0,RISE 미국S&P500엔화노출(합성 H),코스피,8600000000,86
0005D0,SOL 전고체배터리&실리콘음극재,코스피,162800000000,1628
0005G0,ITF K-AI반도체코어테크,코스피,58200000000,582
000640,동아쏘시오홀딩스,코스피,669300000000,6693
000650,천일고속,코스피,322300000000,3223
000660,SK하이닉스,코스피,682768900000000,6827689
000670,영풍,코스피,929200000000,9292
000680,LS네트웍스,코스피,251800000000,2518
000700,유수홀딩스,코스피,169000000000,1690
000720,현대건설,코스피,17939400000000,179394
000725,현대건설우,코스피,75200000000,752
000760,이화산업,코스피,42000000000,420
0007F0,KODEX 27-12 회사채(AA-이상)액티브,코스피,405800000000,4058
0007G0,PLUS 글로벌원자력밸류체인,코스피,55700000000,557
0007N0,아이엠에셋 200,코스피,75600000000,756
000810,삼성화재,코스피,21533200000000,215332
000815,삼성화재우,코스피,1199500000000,11995
000850,화천기공,코스피,80400000000,804
000860,강남제비스코,코스피,197600000000,1976
000880,한화,코스피,9347400000000,93474
00088K,한화3우B,코스피,965400000000,9654
000890,보해양조,코스피,60500000000,605
0008E0,ACE 미국중심중소형제조업,코스피,10800000000,108
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,코스피,190200000000,1902
0008T0,SOL 화장품TOP3플러스,코스피,65300000000,653
000910,유니온,코스피,69300000000,693
000950,전방,코스피,60600000000,606
000970,한국주철관,코스피,153200000000,1532
000990,DB하이텍,코스피,3689200000000,36892
001020,페이퍼코리아,코스피,128300000000,1283
001040,CJ,코스피,5660300000000,56603
001045,CJ우,코스피,202700000000,2027
00104K,CJ4우(전환),코스피,706700000000,7067
